Date,City,Bus_Ridership,Train_Ridership,Avg_Temp (°C),Rainfall_mm,PM2.5 (µg/m³),AQI_Level,CO2 (ppm),CO (ppm)
01-12-2024,Mumbai,118585,90942,30.1,0,93,Unhealthy,405.9,0.7
02-12-2024,Bengaluru,125240,89598,33,0,85.5,Unhealthy,394.2,0.55
03-12-2024,Bengaluru,110921,76940,26,5.8,68.4,Unhealthy,393.3,0.5
04-12-2024,Mumbai,122129,91220,33.7,0,68,Unhealthy,414.4,0.57
05-12-2024,Delhi,129106,89744,22.9,0.5,93.8,Unhealthy,409.4,0.53
06-12-2024,Mumbai,114251,92968,31.2,5.6,87.5,Unhealthy,394.5,0.61
07-12-2024,Bengaluru,110399,92868,28.4,4.3,93.7,Unhealthy,399.4,0.49
08-12-2024,Mumbai,129189,92827,26.1,0,64.7,Unhealthy,388,0.61
09-12-2024,Delhi,110593,94468,26.9,5.4,101.7,Unhealthy,390.1,0.4
10-12-2024,Bengaluru,105922,86189,27.1,3.6,129.6,Unhealthy,411.8,0.61
11-12-2024,Delhi,102403,88013,32.2,3.7,92.6,Unhealthy,395.4,0.5
12-12-2024,Delhi,122544,88434,26.5,0,110.1,Unhealthy,396.8,0.56
13-12-2024,Delhi,109246,68488,30.7,6,92.5,Unhealthy,416.8,0.61
14-12-2024,Mumbai,110515,91085,27.4,5.3,63.4,Unhealthy,396.8,0.68
15-12-2024,Delhi,127561,90065,25.6,0,38.7,Unhealthy for Sensitive Groups,401.3,0.65
16-12-2024,Bengaluru,132169,75414,26.5,3.8,95.9,Unhealthy,415.8,0.46
17-12-2024,Delhi,133854,95294,32.5,3.2,83.3,Unhealthy,412.7,0.66
18-12-2024,Mumbai,122555,100309,31.8,0,103.4,Unhealthy,409.5,0.5
19-12-2024,Delhi,119271,92868,30.1,2.6,22.9,Moderate,394.5,0.72
20-12-2024,Bengaluru,136443,84559,30.3,0.4,95,Unhealthy,385.5,0.78
21-12-2024,Delhi,142264,96261,29.3,8.5,108,Unhealthy,394.9,0.56
22-12-2024,Bengaluru,116454,97896,25.7,3.6,92.6,Unhealthy,400.1,0.51
23-12-2024,Mumbai,142156,105046,31,0,54.2,Unhealthy for Sensitive Groups,396.1,0.52
24-12-2024,Delhi,119046,87524,26.5,3.7,110.7,Unhealthy,405.7,0.71
25-12-2024,Delhi,107085,77892,26,3.2,78.6,Unhealthy,408.5,0.79
26-12-2024,Delhi,109739,,29.3,6.8,79.1,Unhealthy,411.2,0.67
27-12-2024,Mumbai,119254,,28.9,0,97.5,Unhealthy,412.4,0.87
28-12-2024,Mumbai,120754,102671,25.8,6.7,101.1,Unhealthy,389.9,0.59
29-12-2024,Mumbai,111899,92292,27.2,0,91,Unhealthy,409.1,0.58
30-12-2024,Bengaluru,100477,100638,26.4,5.1,130.9,Unhealthy,413.9,0.67
31-12-2024,Bengaluru,125654,97907,29.4,1.2,81.8,Unhealthy,392.5,0.47
01-01-2025,Delhi,130578,89094,30.2,5.8,66.6,Unhealthy,391.2,0.82
02-01-2025,Bengaluru,124350,86976,28,0,89.9,Unhealthy,388.9,0.46
03-01-2025,Delhi,128772,91540,28,0,110.5,Unhealthy,393.9,0.56
04-01-2025,Delhi,116692,85689,23.4,2.4,87,Unhealthy,379.8,0.37
05-01-2025,Mumbai,119239,67707,28.5,6.1,91.3,Unhealthy,418.2,0.5
06-01-2025,Delhi,114301,85652,29.9,9.1,92.7,Unhealthy,397.7,0.65
07-01-2025,Mumbai,101878,95725,29.1,0.3,36,Unhealthy for Sensitive Groups,401.1,0.53
08-01-2025,Bengaluru,92313,73039,26.9,8.7,98.3,Unhealthy,428.8,0.36
09-01-2025,Mumbai,122205,81794,30.9,2.5,65.5,Unhealthy,429.4,0.75
10-01-2025,Bengaluru,122422,73828,25.1,3.5,95.7,Unhealthy,399.7,0.79
11-01-2025,Bengaluru,112018,85494,29.2,0.9,131.8,Unhealthy,414.9,0.74
12-01-2025,Delhi,143864,91065,24.5,0,35.3,Unhealthy for Sensitive Groups,414.8,0.73
13-01-2025,Bengaluru,118023,72916,29.2,1.8,62.9,Unhealthy,397.9,0.67
14-01-2025,Delhi,124216,88131,22.3,7.7,,,388.4,0.64
15-01-2025,Bengaluru,112073,94508,28.9,11.3,65.5,Unhealthy,384.5,0.71
16-01-2025,Delhi,127007,93830,26.8,1.8,82,Unhealthy,404.6,0.65
17-01-2025,Delhi,110447,81770,29.8,7.8,53.7,Unhealthy for Sensitive Groups,392,0.48
18-01-2025,Mumbai,125721,101763,33,2.2,73.6,Unhealthy,391.4,0.54
19-01-2025,Delhi,107498,98272,28.4,0,105.3,Unhealthy,410.4,0.65
20-01-2025,Bengaluru,111248,88245,31,5.3,66,Unhealthy,387.4,0.61
21-01-2025,Mumbai,119530,71452,27.3,0,135.2,Unhealthy,388.8,0.71
22-01-2025,Mumbai,104906,92379,30.6,6.7,79.7,Unhealthy,412,0.5
23-01-2025,Bengaluru,125813,83655,24.4,0,138.6,Unhealthy,399,0.7
24-01-2025,Bengaluru,,88303,27.1,8.1,76.7,Unhealthy,414.6,0.84
25-01-2025,Bengaluru,116786,81252,27.4,2.8,99.5,Unhealthy,401.1,0.63
26-01-2025,Mumbai,127419,86954,27,2.1,108.8,Unhealthy,391.5,0.64
27-01-2025,Delhi,111775,85700,25,0,63.4,Unhealthy,411,0.64
28-01-2025,Mumbai,103657,90077,26.6,5.4,101.3,Unhealthy,412.4,0.72
29-01-2025,Mumbai,124882,80969,28.1,2.6,82.9,Unhealthy,401.2,0.57
30-01-2025,Delhi,92119,80692,25.8,0,49.3,Unhealthy for Sensitive Groups,397.2,0.53
31-01-2025,Mumbai,121154,99085,24.5,12,83.3,Unhealthy,403.3,0.49
01-02-2025,Bengaluru,120165,,27.6,7.9,73,Unhealthy,431.7,0.61
02-02-2025,Delhi,118913,90044,30.6,0,85.4,Unhealthy,384.7,0.67
03-02-2025,Bengaluru,107041,91678,25.4,4.5,78.1,Unhealthy,397.4,0.66
04-02-2025,Mumbai,140943,90484,28,0,50.2,Unhealthy for Sensitive Groups,409.9,0.74
05-02-2025,Mumbai,118351,109844,32.8,6.2,38.4,Unhealthy for Sensitive Groups,397.7,0.63
06-02-2025,Delhi,127002,88975,27.3,9.1,79.9,Unhealthy,403,0.53
07-02-2025,Bengaluru,126793,91245,31,0,58.1,Unhealthy,391.4,0.58
08-02-2025,Delhi,107288,104254,32,0,54.7,Unhealthy for Sensitive Groups,401.3,0.62
09-02-2025,Delhi,111009,95634,27.5,0,53.6,Unhealthy for Sensitive Groups,393.6,0.63
10-02-2025,Bengaluru,122038,80624,28.2,0,80.4,Unhealthy,401.2,0.85
11-02-2025,Bengaluru,124831,84825,32.8,2.2,93.2,Unhealthy,392.7,0.5
12-02-2025,Mumbai,116225,97322,24.6,1.6,90.2,Unhealthy,410.3,0.56
13-02-2025,Mumbai,114059,81230,28.1,0,24.1,Moderate,407.1,0.7
